date,pred_flow,river_flow,river_stage,flood_flag,cause,flood_type
1975-11-29,22.4999,15.57,NA,0,NA,NA
1975-11-30,19.5795,15.25,NA,0,NA,NA
1975-12-01,33.7119,14.79,NA,0,NA,NA
1975-12-02,35.7089,15.73,NA,0,NA,NA
1975-12-03,30.521,14.73,NA,0,NA,NA
1975-12-04,25.5345,13.99,NA,0,NA,NA
1975-12-05,22.4837,14.01,NA,0,NA,NA
1975-12-06,20.0501,13.11,NA,0,NA,NA
1975-12-07,17.991,12.31,NA,0,NA,NA
1975-12-08,16.1116,12,NA,0,NA,NA
1975-12-09,15.5901,11.19,NA,0,NA,NA
1975-12-10,18.3316,10.77,NA,0,NA,NA
1975-12-11,20.988,10.71,NA,0,NA,NA
1975-12-12,20.464,10.67,NA,0,NA,NA
1975-12-13,18.6297,10.75,NA,0,NA,NA
1975-12-14,16.8174,10.4,NA,0,NA,NA
1975-12-15,15.031,10.27,NA,0,NA,NA
1975-12-16,13.5466,10.54,NA,0,NA,NA
1975-12-17,13.0055,10.36,NA,0,NA,NA
1975-12-18,37.2609,13.98,NA,0,NA,NA
1975-12-19,42.4997,16.53,NA,0,NA,NA
1975-12-20,37.4567,15.79,NA,0,NA,NA
1975-12-21,37.4849,16.2,NA,0,NA,NA
1975-12-22,35.8425,16.39,NA,0,NA,NA
1975-12-23,31.1607,16.03,NA,0,NA,NA
1975-12-24,27.1264,15.37,NA,0,NA,NA
1975-12-25,24.1496,13.42,NA,0,NA,NA
1975-12-26,23.3337,13.1,NA,0,NA,NA
1975-12-27,23.5999,15.66,NA,0,NA,NA
1975-12-28,23.408,15.46,NA,0,NA,NA
1975-12-29,21.2917,13.79,NA,0,NA,NA
1975-12-30,19.1703,13.6,NA,0,NA,NA
1975-12-31,18.8875,12.69,NA,0,NA,NA
1976-01-01,17.3345,12.5,NA,0,NA,NA
1976-01-02,15.1995,12.41,NA,0,NA,NA
1976-01-03,13.8879,12.75,NA,0,NA,NA
1976-01-04,15.0232,11.03,NA,0,NA,NA
1976-01-05,15.8053,9.96,NA,0,NA,NA
1976-01-06,14.8124,9.59,NA,0,NA,NA
1976-01-07,13.4507,9.3,NA,0,NA,NA
1976-01-08,20.5359,9.99,NA,0,NA,NA
1976-01-09,24.9346,13.87,NA,0,NA,NA
1976-01-10,22.6381,12.5,NA,0,NA,NA
1976-01-11,19.6146,10.7,NA,0,NA,NA
1976-01-12,17.0052,10.81,NA,0,NA,NA
1976-01-13,15.9046,9.87,NA,0,NA,NA
1976-01-14,14.816,10.03,NA,0,NA,NA
1976-01-15,63.4805,27.05,NA,0,NA,NA
1976-01-16,60.1757,28.57,NA,0,NA,NA
1976-01-17,61.956,31.36,NA,0,NA,NA
1976-01-18,54.6783,26.19,NA,0,NA,NA
1976-01-19,45.6934,20.03,NA,0,NA,NA
1976-01-20,38.1696,16.76,NA,0,NA,NA
1976-01-21,49.9195,18.8,NA,0,NA,NA
1976-01-22,48.2056,26.27,NA,0,NA,NA
1976-01-23,42.3752,24.47,NA,0,NA,NA
1976-01-24,36.2227,21.74,NA,0,NA,NA
1976-01-25,30.8102,18.26,NA,0,NA,NA
1976-01-26,26.8432,16.26,NA,0,NA,NA
1976-01-27,34.4543,20.29,NA,0,NA,NA
1976-01-28,36.7851,26.91,NA,0,NA,NA
1976-01-29,32.093,19.49,NA,0,NA,NA
1976-01-30,27.479,15.79,NA,0,NA,NA
1976-01-31,24.8941,14.11,NA,0,NA,NA
1976-02-01,23.5063,15.37,NA,0,NA,NA
1976-02-02,23.5878,15.38,NA,0,NA,NA
1976-02-03,21.6876,13.05,NA,0,NA,NA
1976-02-04,19.5628,12.17,NA,0,NA,NA
1976-02-05,17.6649,12.2,NA,0,NA,NA
1976-02-06,15.6664,12.45,NA,0,NA,NA
1976-02-07,174.043,16.11,NA,0,NA,NA
1976-02-08,127.598,23.35,NA,0,NA,NA
1976-02-09,84.2273,19.93,NA,0,NA,NA
1976-02-10,62.023,17.19,NA,0,NA,NA
1976-02-11,49.613,13.88,NA,0,NA,NA
1976-02-12,41.0285,12.7,NA,0,NA,NA
1976-02-13,35.3599,12.41,NA,0,NA,NA
1976-02-14,31.007,12.5,NA,0,NA,NA
1976-02-15,27.6286,11.7,NA,0,NA,NA
1976-02-16,25.0919,10.24,NA,0,NA,NA
1976-02-17,22.0966,9.49,NA,0,NA,NA
1976-02-18,19.1783,10.08,NA,0,NA,NA
1976-02-19,16.6842,9.95,NA,0,NA,NA
1976-02-20,14.9621,11.96,NA,0,NA,NA
1976-02-21,13.4375,10.24,NA,0,NA,NA
1976-02-22,13.1886,9.49,NA,0,NA,NA
1976-02-23,14.7642,9.66,NA,0,NA,NA
1976-02-24,14.3727,8.96,NA,0,NA,NA
1976-02-25,12.6185,9.04,NA,0,NA,NA
1976-02-26,11.1038,9.18,NA,0,NA,NA
1976-02-27,9.90587,8.78,NA,0,NA,NA
1976-02-28,8.9894,8.66,NA,0,NA,NA
1976-02-29,8.26403,8.1,NA,0,NA,NA
1976-03-01,7.72208,7.01,NA,0,NA,NA
1976-03-02,7.33705,6.73,NA,0,NA,NA
1976-03-03,7.10091,7.76,NA,0,NA,NA
1976-03-04,6.99835,6.37,NA,0,NA,NA
1976-03-05,6.95521,6.07,NA,0,NA,NA
1976-03-06,6.94433,6.5,NA,0,NA,NA
1976-03-07,7.37193,7.03,NA,0,NA,NA
1976-03-08,9.42843,7.45,NA,0,NA,NA
1976-03-09,10.2342,8.2,NA,0,NA,NA
1976-03-10,9.81799,7.48,NA,0,NA,NA
1976-03-11,10.5296,7.42,NA,0,NA,NA
1976-03-12,11.241,7.31,NA,0,NA,NA
1976-03-13,10.6152,6.42,NA,0,NA,NA
1976-03-14,10.4607,7.66,NA,0,NA,NA
1976-03-15,12.1777,8.12,NA,0,NA,NA
1976-03-16,19.3824,8.8,NA,0,NA,NA
1976-03-17,34.2724,10.93,NA,0,NA,NA
1976-03-18,36.9381,15.34,NA,0,NA,NA
1976-03-19,31.7281,9.12,NA,0,NA,NA
1976-03-20,26.5771,7.36,NA,0,NA,NA
1976-03-21,23.0364,6.86,NA,0,NA,NA
1976-03-22,28.5246,24.52,NA,0,NA,NA
1976-03-23,31.2908,27.31,NA,0,NA,NA
1976-03-24,29.3031,19.74,NA,0,NA,NA
1976-03-25,25.6698,15.65,NA,0,NA,NA
1976-03-26,22.4626,13.22,NA,0,NA,NA
1976-03-27,19.8969,10.5,NA,0,NA,NA
1976-03-28,18.4345,8.74,NA,0,NA,NA
1976-03-29,17.4944,9.85,NA,0,NA,NA
1976-03-30,15.8059,9.15,NA,0,NA,NA
1976-03-31,56.5193,35.1,NA,0,NA,NA
1976-04-01,50.4747,22.46,NA,0,NA,NA
1976-04-02,38.7902,16.11,NA,0,NA,NA
1976-04-03,30.7684,12.78,NA,0,NA,NA
1976-04-04,25.3623,11.69,NA,0,NA,NA
1976-04-05,22.2432,10.69,NA,0,NA,NA
1976-04-06,20.804,9.55,NA,0,NA,NA
1976-04-07,21.3067,9.07,NA,0,NA,NA
1976-04-08,22.6961,8.12,NA,0,NA,NA
1976-04-09,21.4702,7.67,NA,0,NA,NA
1976-04-10,19.8168,7.76,NA,0,NA,NA
1976-04-11,18.1876,8.67,NA,0,NA,NA
1976-04-12,16.4326,6.96,NA,0,NA,NA
1976-04-13,14.9375,7.1,NA,0,NA,NA
1976-04-14,13.7286,8.94,NA,0,NA,NA
1976-04-15,12.758,8.17,NA,0,NA,NA
1976-04-16,12.4452,8.31,NA,0,NA,NA
1976-04-17,12.2561,7.02,NA,0,NA,NA
1976-04-18,11.7927,6.36,NA,0,NA,NA
1976-04-19,12.4661,8.34,NA,0,NA,NA
