date,flow
2/22/22,11.7831
2/23/22,10.1635
2/24/22,8.92879
2/25/22,12.7423
2/26/22,17.9535
2/27/22,20.0523
2/28/22,20.3962
3/1/22,20.581
3/2/22,18.703
3/3/22,17.558
3/4/22,16.716
3/5/22,15.9728
3/6/22,14.4833
3/7/22,12.6373
3/8/22,11.6455
3/9/22,13.5056
3/10/22,15.2313
3/11/22,14.2695
3/12/22,13.3514
3/13/22,14.7878
3/14/22,14.0477
3/15/22,12.0807
3/16/22,10.5819
3/17/22,9.36974
3/18/22,8.54574
3/19/22,12.9183
3/20/22,17.5502
3/21/22,18.3672
3/22/22,16.1931
3/23/22,13.4608
3/24/22,11.7007
3/25/22,11.7069
3/26/22,10.8207
3/27/22,9.33552
3/28/22,8.34597
3/29/22,7.71978
3/30/22,7.21711
3/31/22,6.82949
4/1/22,6.66897
4/2/22,6.64587
4/3/22,6.61826
4/4/22,6.70089
4/5/22,6.62954
4/6/22,6.50181
4/7/22,6.47223
4/8/22,6.4871
4/9/22,6.58492
4/10/22,6.60943
4/11/22,6.48873
4/12/22,6.47634
4/13/22,6.48559
4/14/22,6.4741
4/15/22,6.44912
4/16/22,6.5093
4/17/22,6.46025
4/18/22,6.40423
4/19/22,6.86032
4/20/22,9.2133
4/21/22,10.9341
4/22/22,12.0835
4/23/22,12.1728
4/24/22,10.9364
4/25/22,9.49718
4/26/22,10.5662
4/27/22,15.5727
4/28/22,17.4362
4/29/22,15.6511
4/30/22,13.4951
5/1/22,11.7567
5/2/22,11.2423
5/3/22,10.7493
5/4/22,9.55437
5/5/22,8.4177
5/6/22,7.51244
5/7/22,6.87602
5/8/22,6.54577
5/9/22,6.47043
5/10/22,6.5259
5/11/22,7.12551
5/12/22,8.03829
5/13/22,7.97315
5/14/22,7.12484
5/15/22,6.71075
5/16/22,6.83277
5/17/22,6.70278
5/18/22,6.45226
5/19/22,6.38081
5/20/22,6.35816
5/21/22,6.3816
5/22/22,6.62283
5/23/22,7.30113
5/24/22,7.26325
5/25/22,6.77571
5/26/22,6.70483
5/27/22,6.82932
5/28/22,6.96584
5/29/22,6.70678
5/30/22,6.43268
5/31/22,6.972
6/1/22,8.04198
6/2/22,8.98424
6/3/22,9.74688
6/4/22,9.71263
6/5/22,8.44291
6/6/22,7.11157
6/7/22,6.52278
6/8/22,6.40646
6/9/22,7.51552
6/10/22,11.3094
6/11/22,14.0201
6/12/22,13.5012
6/13/22,12.1124
6/14/22,13.4913
6/15/22,38.7021
6/16/22,52.2984
6/17/22,49.052
6/18/22,44.7756
6/19/22,41.7113
6/20/22,43.4819
6/21/22,376.684
6/22/22,442.446
6/23/22,261.337
6/24/22,171.355
6/25/22,128.122
6/26/22,103.79
6/27/22,88.744
6/28/22,80.2763
6/29/22,73.3951
6/30/22,64.8554
7/1/22,56.4944
7/2/22,49.7694
7/3/22,44.5603
7/4/22,41.0965
7/5/22,39.1292
7/6/22,35.6022
7/7/22,31.9435
7/8/22,30.0183
7/9/22,28.26
7/10/22,27.1321
7/11/22,24.3396
7/12/22,21.5468
7/13/22,19.8238
7/14/22,29.3087
7/15/22,74.4794
7/16/22,77.1296
7/17/22,64.9618
7/18/22,54.3986
7/19/22,45.8575
7/20/22,38.7484
7/21/22,32.7828
7/22/22,27.997
7/23/22,25.2984
7/24/22,31.9767
7/25/22,37.9642
7/26/22,37.8083
7/27/22,34.6253
7/28/22,31.8722
7/29/22,42.2938
7/30/22,46.3111
7/31/22,44.4498
8/1/22,44.9512
8/2/22,44.2565
8/3/22,41.4797
8/4/22,37.3249
8/5/22,32.8593
8/6/22,29.1653
8/7/22,26.6704
8/8/22,29.6946
8/9/22,31.5518
8/10/22,30.4828
8/11/22,27.5553
8/12/22,24.3816
8/13/22,22.6105
8/14/22,22.3571
8/15/22,33.5592
8/16/22,67.3332
8/17/22,60.689
8/18/22,49.7798
8/19/22,42.3049
8/20/22,38.485
8/21/22,36.153
8/22/22,32.6288
8/23/22,28.8215
8/24/22,26.0159
8/25/22,24.2215
8/26/22,22.2085
8/27/22,20.7773
8/28/22,18.9141
8/29/22,18.2191
8/30/22,17.8328
8/31/22,18.4211
9/1/22,19.3368
9/2/22,29.2925
9/3/22,83.4869
9/4/22,222.68
9/5/22,218.619
9/6/22,182.006
9/7/22,256.592
9/8/22,212.09
9/9/22,154.018
9/10/22,118.447
9/11/22,95.9969
9/12/22,80.8309
9/13/22,70.104
9/14/22,74.6479
9/15/22,99.2539
9/16/22,230.44
9/17/22,179.259
9/18/22,213.923
9/19/22,208.689
9/20/22,167.64
9/21/22,132.404
9/22/22,108.326
9/23/22,91.7013
9/24/22,79.3944
9/25/22,68.8161
9/26/22,89.8056
9/27/22,123.271
9/28/22,216.468
9/29/22,171.379
9/30/22,127.734
10/1/22,99.9076
10/2/22,81.4116
10/3/22,68.0563
10/4/22,58.3574
10/5/22,55.034
10/6/22,71.7594
10/7/22,70.6809
10/8/22,74.7981
10/9/22,95.6666
10/10/22,86.8719
10/11/22,72.7174
10/12/22,73.627
10/13/22,66.8614
10/14/22,56.6446
10/15/22,48.0703
10/16/22,41.3346
10/17/22,35.6311
10/18/22,158.511
10/19/22,277.649
10/20/22,186.931
10/21/22,126.099
10/22/22,95.3446
10/23/22,76.9752
10/24/22,63.8149
10/25/22,54.3094
10/26/22,49.8963
10/27/22,44.7588
10/28/22,39.467
10/29/22,36.2651
10/30/22,35.3162
10/31/22,32.251
11/1/22,28.6368
11/2/22,25.6681
11/3/22,23.1846
11/4/22,20.6112
11/5/22,17.8722
11/6/22,15.5226
11/7/22,15.1485
11/8/22,17.3288
11/9/22,17.7115
11/10/22,16.2199
11/11/22,14.0936
11/12/22,12.5778
11/13/22,13.8919
11/14/22,14.8721
11/15/22,13.8619
11/16/22,18.8316
11/17/22,23.0737
11/18/22,23.3445
11/19/22,21.8599
11/20/22,21.6876
11/21/22,22.4346
11/22/22,21.3659
11/23/22,19.1686
11/24/22,16.8767
11/25/22,14.6576
11/26/22,12.9873
11/27/22,13.1957
11/28/22,13.7128
11/29/22,12.6268
11/30/22,11.1507
12/1/22,26.6147
12/2/22,31.6203
12/3/22,33.3338
12/4/22,32.0052
12/5/22,29.9783
12/6/22,26.0551
12/7/22,21.818
12/8/22,22.7739
12/9/22,22.3476
12/10/22,19.5346
12/11/22,16.7424
12/12/22,14.4749
12/13/22,12.5927
12/14/22,11.1579
12/15/22,10.1578
12/16/22,10.4077
12/17/22,15.0341
12/18/22,18.1137
12/19/22,18.1654
12/20/22,16.1036
12/21/22,15.1012
12/22/22,13.8362
12/23/22,17.6242
12/24/22,20.6812
12/25/22,20.0596
12/26/22,19.9865
12/27/22,19.214
12/28/22,16.8645
12/29/22,14.2802
12/30/22,12.0495
12/31/22,10.2723
1/1/23,8.94446
1/2/23,8.12257
1/3/23,7.56777
1/4/23,7.09649
1/5/23,6.79002
1/6/23,6.66897
1/7/23,6.62251
1/8/23,6.58962
1/9/23,6.57026
1/10/23,6.67229
1/11/23,6.84887
1/12/23,6.70349
1/13/23,6.90557
1/14/23,8.48559
1/15/23,8.67365
1/16/23,7.4977
1/17/23,6.75561
1/18/23,6.50196
1/19/23,6.46174
1/20/23,6.44767
1/21/23,6.45384
1/22/23,6.88786
1/23/23,13.0274
1/24/23,18.1961
1/25/23,17.1722
1/26/23,15.5211
1/27/23,14.829
1/28/23,13.9416
1/29/23,12.6554
1/30/23,11.1239
1/31/23,9.67809
2/1/23,34.2418
2/2/23,37.2734
2/3/23,37.8402
2/4/23,34.1549
2/5/23,27.8911
2/6/23,22.8377
2/7/23,19.4369
2/8/23,16.5871
2/9/23,14.6723
2/10/23,18.4679
2/11/23,22.1866
2/12/23,22.7336
2/13/23,20.0234
2/14/23,16.7297
2/15/23,14.139
2/16/23,12.0708
2/17/23,12.8352
2/18/23,14.9618
2/19/23,13.942
2/20/23,12.4952
2/21/23,11.3641
